,,Not checked,Pass,Fail,Blocked,N/A,Automated
,,1,186,1,0,0,
,,,,,,07.07.2025,
Test case number,Test title,Prerequisites,Test steps,Expected results,Actual results,Results,
Admin - Users Page,,,,,,,
TC001 ,Users page UI,The user is logged in as an Admin and is on the Users page,1. Observe the Users page.,"1a. Left navigation should be visible  → Navigation is correctly displayed.  
1b. Users section should be highlighted  → The ""Users"" section is visually highlighted.  
1c. Users page header should be visible → The section header is present.  
1d. Users section subheader should be visible  
1d1. Page title → The correct title is displayed.  
1d2. Page description → The description text ""Here you can view, create, edit and delete users."" is visible.  
1d3. Visibility button → The button includes Full Name, Access Level, Department, Team, Manager and Status.  
1d4. ""New User"" button → The button is visible and clickable.  
1d5. Search input field → The search bar is functional.  
1e. User table should be visible  
1e1. Table header should display selected columns → The correct headers are shown:
-Full Name
-Status
-Department
-Team
-Manager
-Access Level",,Pass,Yes
TC002,Verify User List Display,The user is logged in as an Admin and is on the Users page,1. Observe user table,1a. User list should display existing users with correct information → The displayed user data should match stored information.,,Pass,Yes
TC003,Verify Table Columns,The user is logged in as an Admin and is on the Users page,1. Observe table structure,"1. Column headers should be correct → The table should contain the following columns (default): Full Name, Status, Access Level, Departments, Teams, Manager.",,Pass,Yes
TC004,Verify Full Name Column,The user is logged in as an Admin and is on the Users page,1. Observe table structure,1. Full Name should be correctly displayed → Each user should have their full name visible.,,Pass,Yes
TC005,Verify Department Column,The user is logged in as an Admin and is on the Users page,1. Observe Department column,1. Department names should be correctly displayed → Each user should have their assigned department visible or N/A if case,,Pass,Yes
TC006,Verify Access Level Display,The user is logged in as an Admin and is on the Users page,1. Observe Access Level column,"1. Access Level tags should be visible → Each user should have one or more of the following labels: Admin, Employee, Hr, Company Manager)",,Pass,Yes
TC007,Verify Teams Column,The user is logged in as an Admin and is on the Users page,1. Observe Team column,"1. Teams should be displayed correctly → Each user should have assigned teams visible, with tooltip "" + more teams"" option if needed or N/A if case.",,Pass,Yes
TC008,Verify Manager Column,The user is logged in as an Admin and is on the Users page,1. Observe Manager column,"1. Managers should be correctly displayed → Each user should have an assigned manager, manager's name being displayed in the Managers collumn.",,Pass,Yes
TC009,Verify Status Column,The user is logged in as an Admin and is on the Users page,1. Observe Status column,1. Status tags should be visilbe → Each user should have assigned active/inactive tag depending on the status of the account.,,Pass,No
TC010,Make User name as link to details page,The user is logged in as an Admin and is on the Users page,1. Click on any user name.,1. User is redirected to user details page.,,Pass,Yes
Admin - Table User Functionality,,,,,,,
TC011,Verify Sorting Functionality,The user is logged in as an Admin and is on the Users page,1. Click on column headers to sort users,1a. Sorting should function correctly → Clicking column headers sorts users properly.,https://ensemble-ro.atlassian.net/browse/HOOP-394,Pass,Yes
TC012,Verify Filtering Functionality,The user is logged in as an Admin and is on the Users page,"1. Click on filter button next to ""Add new user"" button.
2. Apply visibility filters on different columns","1. A filter menu is shown with following checkboxes: Full Name(disabled), Status, Department, Team, Manager and Access Level.
2. Filtering should work as expected → Using filters correctly narrows down user results.", ,Pass,Yes
TC013,Verify Search Functionality,The user is logged in as an Admin and is on the Users page,1. Enter text in search field,1. Search should return correct results → The user table updates and displays matching users.,,Pass,Yes
TC014,Verify Search Functionality - No user found,The user is logged in as an Admin and is on the Users page,1. Enter a non-existent user in search field,"1a. Error message should appear → ""No User Found"" message is displayed and a loupe icon is visible
1b. Detailed guidance is shown → ""No users found for search term. Try searching for something else."" message is visible.",,Pass,Yes
TC015,Verify Overflow Menu Options,The user is logged in as an Admin and is on the Users page,1. Click on the overlfow menu next to a user,"1a. Overflow menu should provide options for user management → Hover over overflow icon should show Edit, View and Delete options.",,Pass,Yes
TC016,Verify Pagination Controls,The user is logged in as an Admin and is on the Users page,1. Navigate using pagination,1. Pagination should work correctly → Clicking next/previous loads the correct set of users.,,Not Checked,To Update
Admin - Create User Page,,,,,,,
TC017,"Verify access to ""Add New User"" page",The user is logged in as an Admin and is on Users page,"1. Click on the ""New User"" button .","1. The ""New User"" form opens correctly, displaying all required fields.",,Pass,Yes
TC018, User Page UI Verification,The user is logged in as an Admin and is on the Create User page,1. Observe the page,"1a. Page header should be visible. → The correct page title, ""Create user,"" is displayed.
1b. The Basic Information section should be visible → Fields for First Name, Last Name, Email, and Password should be visible with the proper placeholders and info ""i"" tooltip, hide/show password for Password field.
1c. The Organizational details section should be visible → Dropdown Fields for Department, Managed Departments. Team, Managed Teams and Manager are displayed with the proper placeholders and Labels.
1d. Access & Roles section should be visible → Checkboxes for Admin,Company Manager, HR and Employee options should be visible
1e. Status section with Active checkbox checked is visible.
1f.  Action buttons should be visible → ""Cancel"" and ""Create User"" buttons shoud be visible and clickable.
",,Pass,Yes
